member_id,join_date,tier,city,age,gender,acquisition_channel,preferred_channel,transaction_count,total_spend,avg_basket_value,total_points_earned,total_points_redeemed,last_transaction_date,coupon_redemptions,referral_count,membership_status,preferred_category,app_installed,email_opt_in,sms_opt_in,points_unredeemed,high_value_flag,days_since_last_txn,churn_signal,redemp_rate,liability_flag,engagement_score
UM100026,2025-11-27 00:00:00,Silver,Delhi,58,Male,Store,Omnichannel,5,11428,2285.6,1142,0,2026-06-22 00:00:00,8,1,Active,Kids,f,t,t,1142,0,8,0,0.00,0,3.61
UM100296,2023-05-15 00:00:00,Silver,Chennai,50,Other,Referral,Offline,3,11939,3979.67,1193,939,2026-06-22 00:00:00,8,3,Active,Kids,t,t,f,254,0,8,0,78.71,0,4.83
UM101049,2022-08-27 00:00:00,Silver,Pune,22,Male,Campaign,Online,3,55577,18525.67,5557,0,2026-06-05 00:00:00,9,1,Active,Kids,t,f,t,5557,1,25,0,0.00,1,3.83
UM101545,2024-06-15 00:00:00,Silver,Jaipur,34,Other,Campaign,Online,5,6027,1205.4,602,0,2026-04-05 00:00:00,,3,Dormant,Kids,t,t,t,602,0,86,0,0.00,0,2.28
UM102253,2026-02-06 00:00:00,Silver,Jaipur,32,Male,Website,Online,2,53716,26858,5371,3198,2026-02-15 00:00:00,1,5,Dormant,Kids,t,t,t,2173,1,135,1,59.54,0,3.78
UM100001,2024-03-15 00:00:00,Silver,Bengaluru,23,Female,Campaign,Offline,1,8168,8168,816,0,2026-06-30 00:00:00,3,0,Active,Kids,t,t,f,816,0,0,0,0.00,0,1.06
UM100002,2023-02-24 00:00:00,Gold,Chandigarh,44,Male,Referral,Offline,15,62999,4199.93,6299,0,2026-02-03 00:00:00,9,2,Churn Risk,Electronics,t,t,t,6299,0,147,1,0.00,1,5.17
UM100004,2023-11-25 00:00:00,Silver,Kochi,49,Female,Store,Omnichannel,5,9737,1947.4,973,0,2026-06-02 00:00:00,1,4,Active,Sports,t,t,t,973,0,28,0,0.00,0,3.28
UM100005,2025-11-22 00:00:00,Silver,Mumbai,70,Female,Website,Omnichannel,5,45525,9105,4552,1723,2026-01-08 00:00:00,6,5,Dormant,Sports,t,t,t,2829,0,173,1,37.85,0,5.61
UM100006,2026-02-01 00:00:00,Silver,Ahmedabad,43,Other,Website,Offline,4,10476,2619,1047,612,2026-06-17 00:00:00,6,4,Active,Home & Kitchen,f,f,f,435,0,13,0,58.45,0,4.89
UM100007,2025-07-27 00:00:00,Silver,Hyderabad,34,Female,Store,Offline,2,17201,8600.5,1720,0,2026-05-16 00:00:00,6,4,Dormant,Sports,t,t,t,1720,0,45,0,0.00,0,4.78
UM100008,2022-09-29 00:00:00,Silver,Lucknow,43,Male,Mobile App,Offline,1,54289,54289,5428,3770,2026-06-11 00:00:00,3,3,Active,Electronics,t,t,t,1658,1,19,0,69.45,0,3.06
UM100009,2023-05-30 00:00:00,Gold,Bengaluru,56,Female,Campaign,Offline,11,68432,6221.09,6843,1900,2026-04-04 00:00:00,1,3,Dormant,Lifestyle,t,t,t,4943,0,87,0,27.77,0,2.94
UM100010,2024-12-06 00:00:00,Platinum,Pune,27,Other,Referral,Offline,59,262108,4442.51,26210,0,2025-12-28 00:00:00,8,2,Churn Risk,Fashion,f,t,t,26210,0,184,1,0.00,1,7.28
UM100425,2022-09-27 00:00:00,Gold,Pune,56,Male,Store,Online,9,188869,20985.44,18886,0,2026-06-13 00:00:00,3,4,Active,Kids,t,t,f,18886,1,17,0,0.00,1,4.17
UM100011,2025-03-02 00:00:00,Silver,Pune,32,Male,Referral,Online,6,42188,7031.33,4218,3772,2026-06-06 00:00:00,5,5,Active,Grocery,f,t,t,446,0,24,0,89.43,0,5.33
UM100012,2023-01-09 00:00:00,Silver,Kochi,31,Female,Referral,Omnichannel,6,25896,4316,2589,0,2026-06-21 00:00:00,0,3,Active,Sports,f,t,t,2589,0,9,0,0.00,0,2.33
UM100935,2023-08-26 00:00:00,Silver,Kochi,59,Female,Campaign,Online,4,50040,12510,5004,0,2026-06-20 00:00:00,8,1,Active,Kids,t,t,t,5004,0,10,0,0.00,1,3.56
UM101894,2023-07-06 00:00:00,Silver,Chennai,39,Female,Store,Online,5,40378,8075.6,4037,0,2026-06-23 00:00:00,10,5,Active,Kids,t,t,t,4037,0,7,0,0.00,0,6.94
UM100013,2025-04-19 00:00:00,Silver,Kochi,47,Female,Credit Card Partner,Offline,8,30437,3804.62,3043,0,2025-12-11 00:00:00,2,1,Churn Risk,Electronics,t,t,t,3043,0,201,1,0.00,0,1.78
