product_name,brand,category,subcategory,size,mrp,discount_pct,selling_price,price_per_unit,stock,rating,review_count,source,search_category
Babyhug Pro Bubble Care Premium Pant Style Diaper Medium (M) Size - 54 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Medium,1449.0,53.0,677.7,12.55,17171,4.27,3330,FirstCry,diapering
"Babyhug Advanced Pant Style Diapers Extra Large (XL) Size  Monthly Box Pack - 112 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Extra Large,2579.0,55.0,1163.64,10.39,7902,4.1,17639,FirstCry,diapering
"Babyhug Advanced Pant Style Diapers Large (L) Size Monthly Box Pack - 128 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Large,2579.0,47.0,1355.52,10.59,46584,4.1,17639,FirstCry,diapering
Pampers Premium Care Pants XL 72 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Extra Large,2849.0,36.0,1819.37,25.27,887,4.48,5637,FirstCry,diapering
Pampers Premium Care Pants L 88 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Large,2849.0,39.0,1739.31,19.76,1321,4.48,5637,FirstCry,diapering
"Babyhug Advanced Pant Style Diapers Medium (M) Size Monthly Box Pack - 152 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Medium,2798.0,53.0,1327.09,8.73,47096,4.1,17639,FirstCry,diapering
Babyhug Pro Bubble Care Premium Pant Style Diaper Large (L) Size - 44 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Large,1449.0,44.0,813.61,18.49,73638,4.27,3330,FirstCry,diapering
"Babyhug Advanced Pant Style Diapers XXL - 42 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,XXL,1399.0,61.0,545.61,12.99,85299,4.1,17639,FirstCry,diapering
"MamyPoko Pants Extra Absorb Baby Diapers, Extra Large (XL size) | 12-17 kg | 104 Count |Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil |",MamyPoko,Diapering,Baby Diapers,Extra Large,2437.0,40.0,1458.3,14.02,739,4.41,1381,FirstCry,diapering
"Babyhug Advanced Pant Style Diaper Monthly Box Pack Small (S) Size - 168 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Small,2579.0,52.0,1241.53,7.39,13998,4.1,17639,FirstCry,diapering
